exp_name,family,model,dim,lr,epochs,seed,run_dir,val_precision@5,val_recall@5,val_ndcg@5,val_precision@10,val_recall@10,val_ndcg@10,val_precision@20,val_recall@20,val_ndcg@20,test_precision@5,test_recall@5,test_ndcg@5,test_precision@10,test_recall@10,test_ndcg@10,test_precision@20,test_recall@20,test_ndcg@20
mf_d64_lr0.001_ep4_s22,ranking,mf,64,0.001,4,22,runs/mf_d64_lr0.001_ep4_s22_20260309_185438,0.012,0.06,0.041232126232897,0.008,0.08,0.0483562699750574,0.01,0.2,0.0791923526591976,0.02,0.1,0.051587777449017,0.016,0.16,0.0705156700561607,0.014,0.28,0.1000645963451585
mf_d64_lr0.0005_ep2_s22,ranking,mf,64,0.0005,2,22,runs/mf_d64_lr0.0005_ep2_s22_20260309_185448,0.012,0.06,0.0486135311614678,0.008,0.08,0.0557376749036283,0.01,0.2,0.0865737575877685,0.02,0.1,0.051587777449017,0.016,0.16,0.0705156700561607,0.014,0.28,0.1002683470137958
mf_d64_lr0.001_ep2_s22,ranking,mf,64,0.001,2,22,runs/mf_d64_lr0.001_ep2_s22_20260309_185429,0.012,0.06,0.041232126232897,0.008,0.08,0.0483562699750574,0.01,0.2,0.0791923526591976,0.02,0.1,0.051587777449017,0.016,0.16,0.0705156700561607,0.014,0.28,0.1000645963451585
mf_d64_lr0.0005_ep4_s22,ranking,mf,64,0.0005,4,22,runs/mf_d64_lr0.0005_ep4_s22_20260309_185458,0.012,0.06,0.041232126232897,0.008,0.08,0.0483562699750574,0.01,0.2,0.0791923526591976,0.02,0.1,0.051587777449017,0.016,0.16,0.0705156700561607,0.014,0.28,0.1000645963451585
ncf_d16_lr0.0005_ep4_s22,ranking,ncf,16,0.0005,4,22,runs/ncf_d16_lr0.0005_ep4_s22_20260309_185537,0.016,0.08,0.0363505873061586,0.012,0.12,0.0501413977149858,0.009,0.18,0.0652873992580942,0.02,0.1,0.0554741122893816,0.014,0.14,0.0678040097383758,0.01,0.2,0.082829284467702
ncf_d16_lr0.001_ep2_s22,ranking,ncf,16,0.001,2,22,runs/ncf_d16_lr0.001_ep2_s22_20260309_185508,0.016,0.08,0.0363505873061586,0.012,0.12,0.0501413977149858,0.009,0.18,0.0653943884157296,0.02,0.1,0.0554741122893816,0.014,0.14,0.0678040097383758,0.009,0.18,0.0782758794937629
ncf_d16_lr0.001_ep4_s22,ranking,ncf,16,0.001,4,22,runs/ncf_d16_lr0.001_ep4_s22_20260309_185517,0.004,0.02,0.01,0.01,0.1,0.0350171640289404,0.011,0.22,0.0645112535597646,0.012,0.06,0.041232126232897,0.014,0.14,0.0668248330813615,0.013,0.26,0.095942621128315
ncf_d16_lr0.001_ep4_s33,ranking,ncf,16,0.001,4,33,runs/ncf_d16_lr0.001_ep4_s33_20260309_185521,0.012,0.06,0.0477370561446908,0.01,0.1,0.0611704974225658,0.008,0.16,0.0766944210073085,0.012,0.06,0.0338507213043261,0.014,0.14,0.0603287982930995,0.012,0.24,0.0848453972303557
ncf_d64_lr0.001_ep4_s11,ranking,ncf,64,0.001,4,11,runs/ncf_d64_lr0.001_ep4_s11_20260309_185554,0.012,0.06,0.0303556512161199,0.016,0.16,0.0599800440086743,0.01,0.2,0.0708118936224408,0.008,0.04,0.0277370561446908,0.012,0.12,0.0531115893045834,0.011,0.22,0.0781490353724704
mf_d16_lr0.001_ep4_s22,ranking,mf,16,0.001,4,22,runs/mf_d16_lr0.001_ep4_s22_20260309_185400,0.012,0.06,0.0240876434508495,0.01,0.1,0.0375210847287245,0.007,0.14,0.047570324760831,0.016,0.08,0.0438507213043261,0.01,0.1,0.0496320178306839,0.01,0.2,0.0748349739425202
mf_d16_lr0.0005_ep2_s22,ranking,mf,16,0.0005,2,22,runs/mf_d16_lr0.0005_ep2_s22_20260309_185409,0.012,0.06,0.0254741122893816,0.01,0.1,0.0389075535672566,0.007,0.14,0.0489567935993631,0.016,0.08,0.0438507213043261,0.01,0.1,0.0496320178306839,0.01,0.2,0.0746088242886884
mf_d16_lr0.001_ep2_s22,ranking,mf,16,0.001,2,22,runs/mf_d16_lr0.001_ep2_s22_20260309_185351,0.012,0.06,0.0254741122893816,0.01,0.1,0.0389075535672566,0.007,0.14,0.0489567935993631,0.016,0.08,0.0438507213043261,0.01,0.1,0.0496320178306839,0.01,0.2,0.0746088242886884
mf_d16_lr0.0005_ep4_s22,ranking,mf,16,0.0005,4,22,runs/mf_d16_lr0.0005_ep4_s22_20260309_185419,0.012,0.06,0.0254741122893816,0.01,0.1,0.0389075535672566,0.007,0.14,0.0489567935993631,0.016,0.08,0.0438507213043261,0.01,0.1,0.0496320178306839,0.01,0.2,0.0746088242886884
ncf_d16_lr0.0005_ep2_s22,ranking,ncf,16,0.0005,2,22,runs/ncf_d16_lr0.0005_ep2_s22_20260309_185527,0.008,0.04,0.0177370561446908,0.01,0.1,0.0369517939489236,0.009,0.18,0.0565340649650152,0.012,0.06,0.0263505873061586,0.012,0.12,0.0468080643816524,0.01,0.2,0.0673140457831402
mf_d64_lr0.0005_ep4_s33,ranking,mf,64,0.0005,4,33,runs/mf_d64_lr0.0005_ep4_s33_20260309_185501,0.008,0.04,0.0177370561446908,0.004,0.04,0.0177370561446908,0.01,0.2,0.0579975091802043,0.004,0.02,0.01,0.012,0.12,0.0438203944195057,0.013,0.26,0.0787053352641025
