exp_name,family,model,dim,lr,epochs,seed,run_dir,val_precision@5,val_recall@5,val_ndcg@5,val_precision@10,val_recall@10,val_ndcg@10,val_precision@20,val_recall@20,val_ndcg@20,test_precision@5,test_recall@5,test_ndcg@5,test_precision@10,test_recall@10,test_ndcg@10,test_precision@20,test_recall@20,test_ndcg@20
mf_d64_lr0.001_ep4_s33,ranking,mf,64,0.001,4,33,runs/mf_d64_lr0.001_ep4_s33_20260309_185442,0.008,0.04,0.0177370561446908,0.004,0.04,0.0177370561446908,0.01,0.2,0.0576745980153707,0.004,0.02,0.01,0.012,0.12,0.0438203944195057,0.013,0.26,0.0787053352641025
ncf_d16_lr0.001_ep4_s22,ranking,ncf,16,0.001,4,22,runs/ncf_d16_lr0.001_ep4_s22_20260309_185517,0.004,0.02,0.01,0.01,0.1,0.0350171640289404,0.011,0.22,0.0645112535597646,0.012,0.06,0.041232126232897,0.014,0.14,0.0668248330813615,0.013,0.26,0.095942621128315
mf_d64_lr0.001_ep2_s33,ranking,mf,64,0.001,2,33,runs/mf_d64_lr0.001_ep2_s33_20260309_185432,0.008,0.04,0.0177370561446908,0.004,0.04,0.0177370561446908,0.01,0.2,0.0579975091802043,0.004,0.02,0.01,0.012,0.12,0.0438203944195057,0.013,0.26,0.0787053352641025
mf_d16_lr0.0005_ep4_s33,ranking,mf,16,0.0005,4,33,runs/mf_d16_lr0.0005_ep4_s33_20260309_185422,0.012,0.06,0.0403556512161199,0.012,0.12,0.0595703890203527,0.013,0.26,0.093726723559365,0.02,0.1,0.0584591885558327,0.014,0.14,0.0714351527582139,0.013,0.26,0.1023333762033335
ncf_d16_lr0.0005_ep4_s33,ranking,ncf,16,0.0005,4,33,runs/ncf_d16_lr0.0005_ep4_s33_20260309_185541,0.016,0.08,0.0586135311614678,0.012,0.12,0.0706547309880271,0.012,0.24,0.0994818905417988,0.02,0.1,0.0526185950714291,0.016,0.16,0.0713053318663051,0.013,0.26,0.0969954130073369
mf_d16_lr0.0005_ep2_s33,ranking,mf,16,0.0005,2,33,runs/mf_d16_lr0.0005_ep2_s33_20260309_185412,0.012,0.06,0.0403556512161199,0.012,0.12,0.0595703890203527,0.013,0.26,0.093726723559365,0.02,0.1,0.0584591885558327,0.016,0.16,0.0774557526714936,0.013,0.26,0.1028557312077281
mf_d16_lr0.001_ep4_s33,ranking,mf,16,0.001,4,33,runs/mf_d16_lr0.001_ep4_s33_20260309_185403,0.012,0.06,0.0403556512161199,0.012,0.12,0.0595703890203527,0.013,0.26,0.0939115561343967,0.02,0.1,0.0584591885558327,0.014,0.14,0.0714351527582139,0.013,0.26,0.1023333762033335
mf_d16_lr0.001_ep2_s33,ranking,mf,16,0.001,2,33,runs/mf_d16_lr0.001_ep2_s33_20260309_185354,0.012,0.06,0.0403556512161199,0.012,0.12,0.0595703890203527,0.013,0.26,0.093726723559365,0.02,0.1,0.0584591885558327,0.014,0.14,0.0714351527582139,0.013,0.26,0.1023333762033335
mf_d64_lr0.0005_ep4_s33,ranking,mf,64,0.0005,4,33,runs/mf_d64_lr0.0005_ep4_s33_20260309_185501,0.008,0.04,0.0177370561446908,0.004,0.04,0.0177370561446908,0.01,0.2,0.0579975091802043,0.004,0.02,0.01,0.012,0.12,0.0438203944195057,0.013,0.26,0.0787053352641025
ncf_d16_lr0.001_ep4_s33,ranking,ncf,16,0.001,4,33,runs/ncf_d16_lr0.001_ep4_s33_20260309_185521,0.012,0.06,0.0477370561446908,0.01,0.1,0.0611704974225658,0.008,0.16,0.0766944210073085,0.012,0.06,0.0338507213043261,0.014,0.14,0.0603287982930995,0.012,0.24,0.0848453972303557
ncf_d64_lr0.001_ep4_s33,ranking,ncf,64,0.001,4,33,runs/ncf_d64_lr0.001_ep4_s33_20260309_185601,0.012,0.06,0.0386135311614678,0.014,0.14,0.065549085225735,0.012,0.24,0.0899014120386171,0.02,0.1,0.0649641184676265,0.014,0.14,0.0781088621230666,0.012,0.24,0.1031237059692078
ncf_d64_lr0.0005_ep2_s11,ranking,ncf,64,0.0005,2,11,runs/ncf_d64_lr0.0005_ep2_s11_20260309_185604,0.012,0.06,0.0386135311614678,0.012,0.12,0.0577281610211589,0.013,0.26,0.092162641092629,0.004,0.02,0.02,0.006,0.06,0.03314474365544,0.012,0.24,0.0770723886866654
mf_d16_lr0.001_ep2_s11,ranking,mf,16,0.001,2,11,runs/mf_d16_lr0.001_ep2_s11_20260309_185347,0.012,0.06,0.0477370561446908,0.008,0.08,0.0544037228113575,0.009,0.18,0.0789675367854797,0.016,0.08,0.0677370561446908,0.016,0.16,0.09350039487156,0.012,0.24,0.1141061703800154
mf_d64_lr0.0005_ep4_s11,ranking,mf,64,0.0005,4,11,runs/mf_d64_lr0.0005_ep4_s11_20260309_185454,0.012,0.06,0.0386135311614678,0.01,0.1,0.0524043415702949,0.008,0.16,0.0672127622402184,0.008,0.04,0.021232126232897,0.01,0.1,0.0405860594795099,0.012,0.24,0.0749312350998704
mf_d64_lr0.001_ep4_s11,ranking,mf,64,0.001,4,11,runs/mf_d64_lr0.001_ep4_s11_20260309_185435,0.012,0.06,0.0426185950714291,0.01,0.1,0.0564094054802562,0.008,0.16,0.0712178261501797,0.008,0.04,0.021232126232897,0.01,0.1,0.0405860594795099,0.012,0.24,0.0749312350998704
mf_d16_lr0.001_ep4_s11,ranking,mf,16,0.001,4,11,runs/mf_d16_lr0.001_ep4_s11_20260309_185357,0.012,0.06,0.0477370561446908,0.008,0.08,0.0544037228113575,0.009,0.18,0.0789675367854797,0.016,0.08,0.0677370561446908,0.016,0.16,0.09350039487156,0.012,0.24,0.1140180993159856
mf_d16_lr0.0005_ep2_s11,ranking,mf,16,0.0005,2,11,runs/mf_d16_lr0.0005_ep2_s11_20260309_185406,0.012,0.06,0.0477370561446908,0.008,0.08,0.0544037228113575,0.009,0.18,0.0789675367854797,0.016,0.08,0.0677370561446908,0.016,0.16,0.09350039487156,0.012,0.24,0.1141061703800154
mf_d64_lr0.001_ep2_s11,ranking,mf,64,0.001,2,11,runs/mf_d64_lr0.001_ep2_s11_20260309_185425,0.012,0.06,0.0426185950714291,0.01,0.1,0.0564094054802562,0.008,0.16,0.0712178261501797,0.008,0.04,0.021232126232897,0.01,0.1,0.041232126232897,0.012,0.24,0.0755773018532574
mf_d16_lr0.0005_ep4_s11,ranking,mf,16,0.0005,4,11,runs/mf_d16_lr0.0005_ep4_s11_20260309_185416,0.012,0.06,0.0477370561446908,0.008,0.08,0.0544037228113575,0.009,0.18,0.0789675367854797,0.016,0.08,0.0677370561446908,0.016,0.16,0.09350039487156,0.012,0.24,0.1141061703800154
mf_d64_lr0.0005_ep2_s11,ranking,mf,64,0.0005,2,11,runs/mf_d64_lr0.0005_ep2_s11_20260309_185445,0.012,0.06,0.0386135311614678,0.01,0.1,0.0524043415702949,0.008,0.16,0.0672127622402184,0.008,0.04,0.021232126232897,0.01,0.1,0.041232126232897,0.012,0.24,0.0755773018532574
